PID IID Y
151 P151 15.175
152 P152 12.943
153 P153 23.176
154 P154 19.394
155 P155 19.56
156 P156 15.709
157 P157 17.879
158 P158 16.187
159 P159 16.652
160 P160 13.511
161 P161 25.042
162 P162 21.616
163 P163 27.862
164 P164 20.992
165 P165 18.76
166 P166 14.615
167 P167 20.003
168 P168 17.363
169 P169 22.976
170 P170 15.937
171 P171 17.145
172 P172 28.783
173 P173 16.413
174 P174 22.971
175 P175 19.804
176 P176 18.054
177 P177 14.661
178 P178 19.016
179 P179 20.608
180 P180 17.699
181 P181 16.863
182 P182 15.649
183 P183 16.809
184 P184 18.042
185 P185 13.956
186 P186 15.962
187 P187 15.093
188 P188 19.338
189 P189 12.867
190 P190 17.578
191 P191 19.975
192 P192 17.938
193 P193 22.469
194 P194 17.657
195 P195 15.913
196 P196 19.718
197 P197 25.964
198 P198 20.912
199 P199 19.159
200 P200 20.152
201 P201 14.9
202 P202 19.199
203 P203 21.585
204 P204 24.37
205 P205 22.913
206 P206 19.627
207 P207 15.775
208 P208 21.773
209 P209 16.438
210 P210 21.702
211 P211 21.989
212 P212 16.312
213 P213 20.247
214 P214 19.394
215 P215 18.699
216 P216 15.256
217 P217 23.703
218 P218 21.308
219 P219 21.995
220 P220 16.25
221 P221 18.031
222 P222 17.681
223 P223 22.922
224 P224 17.094
225 P225 24.585
226 P226 15.035
227 P227 20.067
228 P228 21.65
229 P229 19.081
230 P230 22.174
231 P231 20.186
232 P232 21.385
233 P233 15.801
234 P234 15.468
235 P235 22.293
236 P236 22.552
237 P237 12.758
238 P238 19.188
239 P239 16.407
240 P240 10.936
241 P241 16.112
242 P242 18.05
243 P243 21.881
244 P244 19.681
245 P245 21.375
246 P246 19.532
247 P247 27.375
248 P248 16.631
249 P249 18.061
250 P250 22.532
251 P251 21.234
252 P252 21.178
253 P253 21.46
254 P254 15.538
255 P255 17.546
256 P256 16.62
257 P257 23.956
258 P258 16.264
259 P259 16.617
260 P260 20.144
261 P261 14.926
262 P262 17.603
263 P263 22.915
264 P264 16.506
265 P265 19.817
266 P266 23.491
267 P267 15.406
268 P268 20.332
269 P269 20.602
270 P270 22.58
271 P271 18.517
272 P272 18.742
273 P273 18.453
274 P274 16.508
275 P275 22.086
276 P276 18.234
277 P277 14.557
278 P278 18.768
279 P279 19.007
280 P280 24.085
281 P281 14.222
282 P282 22.112
283 P283 18.154
284 P284 17.701
285 P285 20.459
286 P286 21.024
287 P287 17.542
288 P288 26.881
289 P289 17.603
290 P290 13.722
291 P291 13.154
292 P292 26.462
293 P293 19.353
294 P294 18.111
295 P295 21.548
296 P296 24.397
297 P297 16.515
298 P298 11.604
299 P299 24.325
300 P300 15.23
301 P301 21.464
302 P302 22.646
303 P303 14.614
304 P304 22.34
305 P305 14.702
306 P306 21.074
307 P307 21.252
308 P308 24.631
309 P309 11.87
310 P310 16.423
311 P311 20.647
312 P312 21.394
313 P313 20.732
314 P314 14.322
315 P315 16.433
316 P316 18.047
317 P317 21.694
318 P318 15.843
319 P319 18.162
320 P320 20.746
321 P321 19.99
322 P322 13.678
323 P323 19.358
324 P324 17.321
325 P325 25.184
326 P326 15.598
327 P327 20.321
328 P328 14.335
329 P329 20.95
330 P330 18.353
331 P331 14.751
332 P332 15.851
333 P333 16.467
334 P334 22.083
335 P335 18.751
336 P336 20.371
337 P337 17.247
338 P338 13.891
339 P339 23.214
340 P340 17.7
341 P341 18.342
342 P342 18.147
343 P343 17.921
344 P344 16.24
345 P345 20.641
346 P346 18.598
347 P347 20.35
348 P348 18.621
349 P349 17.797
350 P350 17.945
351 P351 18.745
352 P352 25.113
353 P353 19.351
354 P354 17.034
355 P355 23.549
356 P356 23.635
357 P357 17.327
358 P358 19.021
359 P359 26.424
360 P360 15.248
361 P361 20.742
362 P362 16.509
363 P363 25.143
364 P364 19.11
365 P365 18.052
366 P366 18.492
367 P367 21.815
368 P368 20.352
369 P369 24.194
370 P370 18.535
371 P371 20.946
372 P372 26.732
373 P373 18.602
374 P374 20.303
375 P375 14.731
376 P376 17.365
377 P377 23.325
378 P378 17.176
379 P379 18.969
380 P380 17.749
381 P381 20.815
382 P382 16.621
383 P383 17.722
384 P384 12.012
385 P385 18.465
386 P386 15.716
387 P387 19.458
388 P388 15.487
389 P389 17.119
390 P390 17.513
391 P391 16.444
392 P392 21.258
393 P393 23.709
394 P394 22.269
395 P395 22.374
396 P396 10.375
397 P397 15.648
398 P398 19.7
399 P399 16.91
400 P400 23.819
401 P401 13.79
402 P402 17.629
403 P403 20.208
404 P404 17.279
405 P405 15.244
406 P406 17.901
407 P407 28.434
408 P408 19.941
409 P409 19.887
410 P410 21.082
411 P411 14.069
412 P412 21.394
413 P413 15.897
414 P414 18.614
415 P415 17.939
416 P416 16.763
417 P417 18.944
418 P418 20.377
419 P419 18.547
420 P420 18.441
421 P421 18.289
422 P422 21.45
423 P423 17.711
424 P424 18.596
425 P425 17.951
426 P426 16.304
427 P427 19.717
428 P428 21.511
429 P429 16.031
430 P430 21.08
431 P431 17.126
432 P432 19.694
433 P433 18.543
434 P434 26.905
435 P435 16.283
436 P436 16.756
437 P437 12.978
438 P438 16.414
439 P439 23.91
440 P440 19.711
441 P441 14.92
442 P442 15.53
443 P443 18.602
444 P444 17.87
445 P445 12.266
446 P446 19.503
447 P447 18.55
448 P448 13.293
449 P449 23.126
450 P450 23.013
451 P451 16.546
452 P452 21.943
453 P453 18.42
454 P454 20.561
455 P455 21.35
456 P456 19.592
457 P457 23.783
458 P458 20.443
459 P459 14.108
460 P460 15.218
461 P461 17.625
462 P462 21.242
463 P463 16.986
464 P464 16.953
465 P465 17.405
466 P466 19.829
467 P467 19.757
468 P468 24.676
469 P469 21.465
470 P470 18.415
471 P471 18.434
472 P472 16.673
473 P473 17.607
474 P474 13.553
475 P475 11.827
476 P476 20.077
477 P477 22.796
478 P478 14.146
479 P479 31.862
480 P480 16.187
481 P481 19.297
482 P482 16.49
483 P483 18.47
484 P484 20.478
485 P485 18.467
486 P486 20.024
487 P487 18.899
488 P488 19.263
489 P489 18.519
490 P490 17.065
491 P491 23.518
492 P492 16.348
493 P493 16.357
494 P494 20.533
495 P495 16.353
496 P496 21.094
497 P497 22.808
498 P498 16.277
499 P499 14.462
500 P500 17.826
501 P501 24.885
502 P502 21.98
503 P503 21.405
504 P504 15.375
505 P505 18.888
506 P506 23.253
507 P507 12.79
508 P508 14.162
509 P509 22.766
510 P510 29.941
511 P511 16.371
512 P512 21.037
513 P513 17.88
514 P514 20.874
515 P515 21.516
516 P516 21.337
517 P517 20.977
518 P518 15.092
519 P519 20.086
520 P520 12.998
521 P521 16.303
522 P522 18.139
523 P523 16.527
524 P524 17.144
525 P525 19.91
526 P526 18.886
527 P527 17.174
528 P528 16.858
529 P529 15.89
530 P530 18.566
531 P531 19.411
532 P532 20.765
533 P533 13.975
534 P534 15.994
535 P535 19.809
536 P536 16.338
537 P537 21.412
538 P538 18.514
539 P539 20.203
540 P540 21.944
541 P541 26.481
542 P542 17.913
543 P543 18.21
544 P544 19.085
545 P545 16.031
546 P546 17.919
547 P547 23.022
548 P548 19.421
549 P549 14.076
550 P550 14.944
551 P551 17.1
552 P552 12.32
553 P553 24.752
554 P554 17.415
555 P555 15.183
556 P556 16.61
557 P557 22.704
558 P558 18.063
559 P559 26.376
560 P560 21.129
561 P561 19.613
562 P562 15.077
563 P563 17.996
564 P564 19.159
565 P565 18.488
566 P566 17.582
567 P567 13.005
568 P568 17.513
569 P569 17.186
570 P570 26.518
571 P571 26.354
572 P572 21.006
573 P573 19.61
574 P574 19.296
575 P575 20.299
576 P576 23.751
577 P577 19.802
578 P578 13.182
579 P579 28.941
580 P580 20.077
581 P581 25.567
582 P582 23.401
583 P583 17.292
584 P584 22.431
585 P585 16.628
586 P586 21.588
587 P587 14.696
588 P588 22.36
589 P589 10.779
590 P590 18.179
591 P591 12.773
592 P592 17.689
593 P593 12.657
594 P594 18.086
595 P595 14.794
596 P596 17.997
597 P597 16.567
598 P598 18.241
599 P599 21.731
600 P600 20.73
601 P601 14.135
602 P602 17.061
603 P603 18.916
604 P604 17.998
605 P605 18.3
606 P606 12.469
607 P607 18.221
608 P608 20.508
609 P609 14.281
610 P610 16.398
611 P611 19.057
612 P612 21.383
613 P613 19.553
614 P614 12.05
615 P615 19.233
616 P616 16.346
617 P617 18.615
618 P618 22.377
619 P619 17.211
620 P620 19.471
621 P621 15.202
622 P622 23.534
623 P623 17.178
624 P624 21.345
625 P625 16.751
626 P626 14.295
627 P627 14.455
628 P628 13.859
629 P629 17.205
630 P630 13.036
631 P631 21.081
632 P632 21.53
633 P633 18.268
634 P634 24.201
635 P635 17.734
636 P636 22.895
637 P637 11.961
638 P638 18.996
639 P639 16.604
640 P640 16.568
641 P641 19.588
642 P642 18.281
643 P643 20.431
644 P644 20.098
645 P645 21.922
646 P646 20.595
647 P647 18.473
648 P648 22.864
649 P649 20.432
650 P650 23.479
651 P651 21.68
652 P652 27.511
653 P653 20.877
654 P654 22.216
655 P655 20.64
656 P656 15.485
657 P657 23.613
658 P658 16.9
659 P659 14.346
660 P660 15.746
661 P661 18.503
662 P662 25.178
663 P663 16.871
664 P664 13.395
665 P665 16.125
666 P666 15.572
667 P667 16.716
668 P668 22.44
669 P669 19.607
670 P670 20.799
671 P671 27.577
672 P672 21.114
673 P673 20.897
674 P674 18.627
675 P675 15.362
676 P676 19.826
677 P677 15.289
678 P678 17.762
679 P679 17.072
680 P680 15.701
681 P681 21.509
682 P682 25.471
683 P683 16.88
684 P684 14.707
685 P685 19.153
686 P686 17.971
687 P687 24.737
688 P688 12.77
689 P689 19.908
690 P690 19.562
691 P691 15.532
692 P692 22.225
693 P693 17.065
694 P694 15.364
695 P695 26.072
696 P696 27.526
697 P697 14.56
698 P698 17.545
699 P699 32.914
700 P700 22.728
701 P701 24.009
702 P702 22.458
703 P703 19.291
704 P704 19.368
705 P705 25.394
706 P706 27.033
707 P707 17.867
708 P708 11.32
709 P709 13.982
710 P710 20.837
711 P711 18.891
712 P712 18.552
